ID Steves_ID ra dec x y
19548 z4_GND_23136 189.321147 62.238555 7754.634 10241.314
31870 z4_GND_43075 189.166727 62.301205 12066.687 13999.306
12725 z4_GND_34460 189.130474 62.205136 13086.488 8236.415
27882 z4_GND_45033 189.095356 62.278754 14059.956 12655.266
27408 z4_GND_10256 189.282083 62.276459 8848.258 12514.326
15599 z4_GND_29804 189.323379 62.219351 7690.563 9089.179
30626 z4_GND_43910 189.229507 62.293802 10315.791 13554.294
30197 z4_GND_7805 189.19251 62.29125 11347.955 13401.453
9305 z4_GND_38991 189.335177 62.18899 7357.649 7268.007
7413 z4_GND_4000 189.311941 62.179079 8007.337 6672.406
23875 z4_GND_15646 189.203787 62.259637 11034.054 11504.525
15452 z4_GND_30104 189.381791 62.218529 6056.947 9042.959
6513 z4_GND_2969 189.208716 62.173265 10898.004 6322.144
29085 z4_GND_8567 189.242849 62.285192 9943.482 13037.716
11095 z4_GND_36612 189.374575 62.197583 6255.92 7785.781
16349 z4_GND_28557 189.194451 62.223276 11295.938 9322.995
10414 z4_GND_37495 189.270789 62.194432 9160.273 7592.511
29067 z4_GND_8485 189.188523 62.285387 11459.394 13049.763
23786 z4_GND_15797 189.30135 62.25913 8309.3 11475.148
12930 z4_GND_34045 189.325536 62.206424 7629.075 8313.646
20959 z4_GND_20699 189.144746 62.245523 12684.053 10659.093
16873 z4_GND_27681 189.350144 62.225908 6942.821 9483.843
30309 z4_GND_44083 189.235442 62.291968 10150.202 13444.29
16394 z4_GND_29257 189.387688 62.223457 5892.762 9339.079
28573 z4_GND_44801 189.09629 62.28248 14033.438 12878.728
18945 z4_GND_24200 189.08643 62.235502 14314.774 10060.677
16348 z4_GND_28558 189.227848 62.223287 10362.107 9323.407
15635 z4_GND_29762 189.10663 62.21958 13751.989 9104.205
3920 z4_GND_912 189.275453 62.15492 9028.035 5221.848
6027 z4_GND_2505 189.239306 62.170038 10041.21 6128.508
26924 z4_GND_10954 189.301371 62.273874 8309.699 12359.753
17615 z4_GND_26387 189.385977 62.229458 5941.479 9698.996
30261 z4_GND_7732 189.164041 62.2917 12142.179 13429.064
16367 z4_GND_28539 189.407643 62.223221 5334.738 9326.371
30818 z4_GND_7461 189.173729 62.294792 11871.732 13614.328
22159 z4_GND_18644 189.147002 62.251283 12620.577 11004.575
11546 z4_GND_36051 189.240495 62.199722 10008.222 7909.551
29022 z4_GND_8593 189.277248 62.284911 8983.58 13021.341
30906 z4_GND_7416 189.25754 62.295386 9533.816 13649.501
3839 z4_GND_856 189.300609 62.154318 8322.986 5186.375
27334 z4_GND_10363 189.133864 62.276006 12985.44 12488.487
6894 z4_GND_3338 189.305481 62.175609 8187.985 6463.995
27457 z4_GND_10617 189.267546 62.276683 9254.025 12527.508
26142 z4_GND_11978 189.22607 62.270197 10411.721 12138.008
20419 z4_GND_21655 189.269129 62.242883 9208.569 10499.526
31992 z4_GND_43032 189.260395 62.301945 9454.363 14043.111
12548 z4_GND_34634 189.375413 62.20467 6233.433 8211.053
22089 z4_GND_18747 189.193252 62.251118 11328.568 10993.532
12730 z4_GND_34241 189.328489 62.205394 7546.378 8251.979
30616 z4_GND_7555 189.102928 62.293697 13846.883 13551.402
18425 z4_GND_25148 189.374332 62.2329 6267.483 9904.759
28036 z4_GND_44978 189.191617 62.279718 11373.26 12709.537
28512 z4_GND_9073 189.100049 62.282105 13928.585 12856.032
9614 z4_GND_38582 189.21188 62.190729 10809.111 7369.964
15918 z4_GND_29278 189.14346 62.221008 12721.916 9188.206
12738 z4_GND_34339 189.281716 62.205542 8855.007 8259.297
13329 z4_GND_33424 189.194465 62.208359 11296.034 8427.969
20671 z4_GND_21267 189.341769 62.243727 7178.847 10552.587
10314 z4_GND_37621 189.312848 62.193953 7983.091 7564.881
7117 z4_GND_3619 189.197415 62.177247 11214.39 6561.201
6187 z4_GND_2626 189.332263 62.171658 7437.555 6228.006
23604 z4_GND_16136 189.226154 62.258284 10409.404 11423.2
25369 z4_GND_13183 189.05796 62.266515 15105.606 11923.35
15358 z4_GND_30309 189.263071 62.218019 9377.057 9007.572
19145 z4_GND_23816 189.360312 62.2366 6659.822 10125.916
31829 z4_GND_7021 189.250904 62.300987 9719.037 13985.486
27399 z4_GND_10172 189.179399 62.27666 11714.403 12526.293
10959 z4_GND_36809 189.214652 62.196933 10731.446 7742.228
13779 z4_GND_32789 189.272807 62.210304 9104.463 8544.839
20412 z4_GND_22291 189.31094 62.242619 8040.19 10484.782
15545 z4_GND_29951 189.342003 62.218962 7169.715 9066.689
23283 z4_GND_16938 189.213264 62.256725 10769.444 11329.739
24443 z4_GND_14688 189.063309 62.262194 14956.937 11663.689
11468 z4_GND_36116 189.293753 62.19946 8517.859 7894.718
11226 z4_GND_36450 189.221045 62.19823 10552.509 7820.013
